name,country,genre,link
13th_Embodiment,Spain,Melodic Death Metal,<a href='https://www.metal-archives.com/bands/13th_Embodiment/48324'>13th Embodiment</a>
13th_Knot,United States,Heavy/Power Metal,<a href='https://www.metal-archives.com/bands/13th_Knot/67683'>13th Knot</a>
13th_Level,United States,Groove/Thrash Metal/Hardcore,<a href='https://www.metal-archives.com/bands/13th_Level/3540257775'>13th Level</a>
13th_Melody,Canada,Melodic Death Metal,<a href='https://www.metal-archives.com/bands/13th_Melody/26262'>13th Melody</a>
13th_Moon,Spain,Black/Death Metal,<a href='https://www.metal-archives.com/bands/13th_Moon/3540358382'>13th Moon</a>
13th_Temple,Chile,Black/Doom Metal,<a href='https://www.metal-archives.com/bands/13th_Temple/3540419784'>13th Temple</a>
13Trl,Spain,Depressive Black Metal,<a href='https://www.metal-archives.com/bands/13Trl/3540435110'>13Trl</a>
14_Sacred_Words,United States,Metalcore,<a href='https://www.metal-archives.com/bands/14_Sacred_Words/3540431046'>14 Sacred Words</a>
14-22,Argentina,Hard Rock/Heavy Metal,<a href='https://www.metal-archives.com/bands/14-22/3540278767'>14-22</a>
3540415576'>14,Brazil,Raw Black Metal/Noise,<a href='https://www.metal-archives.com/bands/14-88/3540415576'>14/88</a>
14120912519,Malaysia,Experimental Black Metal/Dark Ambient,<a href='https://www.metal-archives.com/bands/14120912519/81083'>14120912519</a>
14Winterkampf88,Germany,Black Metal,<a href='https://www.metal-archives.com/bands/14Winterkampf88/3540405734'>14Winterkampf88</a>
15_Times_Dead,United Kingdom,"Thrash/Groove Metal, Groove Metal (later)",<a href='https://www.metal-archives.com/bands/15_Times_Dead/42169'>15 Times Dead</a>
1572,Russia,Black Metal,<a href='https://www.metal-archives.com/bands/1572/3540421235'>1572</a>
16,United States,Sludge Metal,<a href='https://www.metal-archives.com/bands/16/33709'>16</a>
16_Stitches,United States,Progressive Rock/Metal,<a href='https://www.metal-archives.com/bands/16_Stitches/3540273509'>16 Stitches</a>
17.XII,Bulgaria,Thrash Metal,<a href='https://www.metal-archives.com/bands/17.XII/3540272520'>17.XII</a>
17586063,Japan,Power Metal/Shred,<a href='https://www.metal-archives.com/bands/17586063/3540385573'>17586063</a>
17Days,Italy,Doom Metal,<a href='https://www.metal-archives.com/bands/17Days/34761'>17Days</a>
18_Speed_Tranny,United States,Heavy/Stoner Metal,<a href='https://www.metal-archives.com/bands/18_Speed_Tranny/33923'>18 Speed Tranny</a>
18_Wheels_of_Justice,United States,Thrash Metal/Metalcore,<a href='https://www.metal-archives.com/bands/18_Wheels_of_Justice/100077'>18 Wheels of Justice</a>
1833_AD,India,Black Metal,<a href='https://www.metal-archives.com/bands/1833_AD/3540317394'>1833 AD</a>
1837,Canada,Black/Folk Metal,<a href='https://www.metal-archives.com/bands/1837/3540306841'>1837</a>
1879,Chile,Black Metal,<a href='https://www.metal-archives.com/bands/1879/3540324130'>1879</a>
1914,Ukraine,Blackened Death/Doom Metal,<a href='https://www.metal-archives.com/bands/1914/3540396156'>1914</a>
1917,Argentina,Death Metal,<a href='https://www.metal-archives.com/bands/1917/8611'>1917</a>
1931,United States,Deathcore,<a href='https://www.metal-archives.com/bands/1931/85726'>1931</a>
1968,United Kingdom,Stoner Metal,<a href='https://www.metal-archives.com/bands/1968/3540424600'>1968</a>
1970,Argentina,Stoner Metal/Rock,<a href='https://www.metal-archives.com/bands/1970/3540407546'>1970</a>
1984,Indonesia,Black Metal/Crust,<a href='https://www.metal-archives.com/bands/1984/3540431947'>1984</a>
19TilDawn,United States,Thrash/Heavy Metal,<a href='https://www.metal-archives.com/bands/19TilDawn/3540369838'>19TilDawn</a>
1%3A34,United States,Melodic Death Metal,<a href='https://www.metal-archives.com/bands/1%3A34/3540375211'>1:34</a>
1Down,Philippines,Thrash Metal,<a href='https://www.metal-archives.com/bands/1Down/112470'>1Down</a>
1Enemy3,United States,Progressive Metal,<a href='https://www.metal-archives.com/bands/1Enemy3/3540323009'>1Enemy3</a>
1KillEmbrace,Hungary,Melodic Death Metal,<a href='https://www.metal-archives.com/bands/1KillEmbrace/3540264446'>1KillEmbrace</a>
1n54n0,Costa Rica,Metalcore,<a href='https://www.metal-archives.com/bands/1n54n0/104003'>1n54n0</a>
2_Headed_Chang,United States,Thrash/Groove Metal,<a href='https://www.metal-archives.com/bands/2_Headed_Chang/110201'>2 Headed Chang</a>
2_Kings,United Kingdom,Industrial Metal,<a href='https://www.metal-archives.com/bands/2_Kings/3540324372'>2 Kings</a>
2_Son_Multitud,Spain,Doom/Gothic/Folk Metal,<a href='https://www.metal-archives.com/bands/2_Son_Multitud/29245'>2 Son Multitud</a>
2_Ton_Predator,Sweden,Groove/Thrash Metal,<a href='https://www.metal-archives.com/bands/2_Ton_Predator/7693'>2 Ton Predator</a>
